customer_id,usual_amount_avg,usual_hours,usual_countries,usual_devices,usual_channel,account_creation_date,last_profile_update,issuer_bank,daily_limit
CU-001,1935.25,10-20,MX,D-001,web,2021-03-23,2025-11-11T00:00:00,BBVA,11622.29
CU-002,3569.56,11-22,US,D-002,mobile,2025-11-26,2025-12-25T00:00:00,BAC,10722.58
CU-003,4961.84,06-21,US,D-003,mobile,2024-12-25,2025-02-11T00:00:00,WFC,30065.10
CU-004,783.52,09-21,CL,D-004,mobile,2022-12-23,2025-11-25T00:00:00,BCI,5719.46
CU-005,3433.51,06-19,ES,D-005,web,2023-02-26,2025-11-26T00:00:00,SAN,14264.41
CU-006,1281.02,09-21,MX,D-006,mobile,2022-01-04,2025-11-08T00:00:00,BAN,6566.23
CU-007,1118.91,09-22,CL,D-007,mobile,2021-12-02,2025-11-04T00:00:00,SAN,7425.49
CU-008,1700.05,11-21,PE,D-008,mobile,2025-11-22,2026-02-14T00:00:00,BCP,7406.68
CU-009,4160.81,07-18,ES,D-009,mobile,2023-09-15,2025-11-01T00:00:00,SAN,33013.68
CU-010,3884.00,09-20,CO,D-010,web,2025-11-22,2025-12-26T00:00:00,BOG,26630.07
CU-011,462.82,07-18,ES,D-011,web,2020-08-12,2025-11-01T00:00:00,CABK,2108.10
CU-012,1693.40,08-21,AR,D-012,web,2022-01-03,2025-11-14T00:00:00,SAN,11521.77
CU-013,2850.26,11-20,PE,D-013,web,2025-11-29,2026-02-26T00:00:00,BBVA,14811.90
CU-014,1088.42,06-21,MX,D-014,mobile,2023-05-23,2025-11-11T00:00:00,BBVA,4510.40
CU-015,477.20,08-20,AR,D-015,mobile,2021-10-13,2025-11-25T00:00:00,BNA,3510.90
CU-016,4037.99,09-21,AR,D-016,mobile,2022-10-23,2025-11-25T00:00:00,SAN,30422.79
CU-017,1433.45,08-18,ES,D-017,web,2020-03-07,2025-11-08T00:00:00,CABK,7292.04
CU-018,1188.33,08-19,ES,D-018,mobile,2022-06-24,2025-11-17T00:00:00,BBVA,9338.98
CU-019,4815.99,11-19,CO,D-019,web,2024-01-24,2025-11-27T00:00:00,BAN,37964.81
CU-020,2114.08,10-18,PE,D-020,web,2025-11-28,2025-11-29T00:00:00,BCP,11515.95
CU-021,4929.69,09-20,CO,D-021,web,2024-04-02,2025-11-22T00:00:00,BOG,34912.85
CU-022,4011.89,06-21,CO,D-022,mobile,2024-03-20,2025-11-04T00:00:00,BOG,26300.94
CU-023,4066.56,09-21,PE,D-023,web,2021-08-01,2025-11-28T00:00:00,BCP,14506.91
CU-024,4631.00,11-19,CO,D-024,web,2023-10-16,2025-11-17T00:00:00,DAV,36961.25
CU-025,4830.55,10-22,CO,D-025,web,2020-09-03,2025-11-16T00:00:00,BOG,35174.24
CU-026,2082.09,06-21,CO,D-026,web,2023-06-08,2025-11-03T00:00:00,DAV,16033.48
CU-027,4870.95,07-19,US,D-027,mobile,2025-11-17,2026-02-04T00:00:00,JPM,20074.87
CU-028,3589.68,06-22,ES,D-028,mobile,2025-11-22,2025-11-28T00:00:00,CABK,22572.14
CU-029,2884.71,09-20,CO,D-029,mobile,2024-03-22,2025-11-27T00:00:00,BOG,20118.13
CU-030,2562.92,09-18,MX,D-030,mobile,2024-03-04,2025-11-17T00:00:00,BBVA,20433.53
CU-031,2402.73,11-22,AR,D-031,web,2023-09-05,2025-11-29T00:00:00,BNA,13848.91
CU-032,2904.23,09-18,ES,D-032,web,2024-05-23,2025-11-03T00:00:00,BBVA,16798.08
CU-033,4687.16,07-20,AR,D-033,mobile,2021-06-23,2025-11-27T00:00:00,GAL,34623.42
CU-034,3729.77,06-18,CO,D-034,mobile,2024-10-23,2025-11-03T00:00:00,DAV,27359.21
CU-035,4574.88,07-18,ES,D-035,web,2023-01-08,2025-11-14T00:00:00,CABK,21456.08
CU-036,1940.36,07-20,PE,D-036,mobile,2024-06-26,2025-11-22T00:00:00,BCP,6183.42
CU-037,4130.74,11-20,ES,D-037,web,2020-08-21,2025-11-12T00:00:00,SAN,21836.44
CU-038,4225.91,09-20,CL,D-038,mobile,2023-02-10,2025-11-19T00:00:00,BCH,21104.64
CU-039,2224.25,07-19,MX,D-039,mobile,2024-07-09,2025-11-21T00:00:00,BBVA,8600.00
CU-040,866.54,07-18,MX,D-040,web,2020-07-05,2025-11-29T00:00:00,SAN,2806.36
CU-041,2873.58,08-22,AR,D-041,web,2024-12-05,2025-01-20T00:00:00,BNA,13095.10
CU-042,4899.60,10-21,US,D-042,mobile,2025-11-19,2025-12-27T00:00:00,JPM,26082.38
CU-043,3283.89,07-19,AR,D-043,web,2023-02-20,2025-11-10T00:00:00,GAL,25178.18
CU-044,2555.10,10-22,ES,D-044,mobile,2021-01-27,2025-11-24T00:00:00,BBVA,14990.35
CU-045,729.65,10-20,CO,D-045,web,2025-11-26,2026-01-31T00:00:00,BAN,5695.61
CU-046,4536.22,09-22,MX,D-046,mobile,2021-03-18,2025-11-23T00:00:00,BBVA,28481.17
CU-047,1988.44,07-19,AR,D-047,mobile,2022-09-07,2025-11-26T00:00:00,BNA,9428.55
CU-048,4689.58,09-18,MX,D-048,web,2020-04-10,2025-11-24T00:00:00,SAN,37294.01
CU-049,2121.83,07-18,CL,D-049,mobile,2024-12-17,2025-02-09T00:00:00,BCH,14215.29
CU-050,1267.36,11-18,PE,D-050,mobile,2023-09-22,2025-11-27T00:00:00,IBK,6268.37
