customer_id,usual_amount_avg,usual_hours,usual_countries,usual_devices,usual_channel,account_creation_date,last_profile_update,issuer_bank,daily_limit,currency,timezone,segment
CU-0001,869421.99,23-05,CL,D-0001,web,2021-03-23,2025-12-11T10:23:52,BCI,3405677.17,CLP,America/Santiago,retail
CU-0002,114873.32,11-19,AR,D-0002,mobile,2025-11-30,2025-12-21T00:11:57,GAL,759311.94,ARS,America/Argentina/Buenos_Aires,retail
CU-0003,9841.26,08-19,MX,,mobile,2023-12-16,2025-12-15T14:50:43,SAN,43854.09,MXN,America/Mexico_City,retail
CU-0004,4155725.87,06-19,CO,D-0004,mobile,2025-11-30,2025-12-14T17:57:08,DAV,26603035.80,COP,America/Bogota,retail
CU-0005,17038.51,09-21,MX,D-0005,web,2022-01-04,2025-12-18T07:03:01,BAN,71649.10,MXN,America/Tijuana,premium
CU-0006,678716.82,07-19,AR,D-0006,mobile,2021-10-04,2025-12-14T15:14:07,GAL,2663469.60,ARS,America/Argentina/Buenos_Aires,retail
CU-0007,1752190.38,10-22,CL,D-0007,mobile,2024-08-26,2025-12-25T12:40:28,BCI,13677353.01,CLP,America/Santiago,premium
CU-0008,2443.20,06-21,MX,D-0008,mobile,2022-03-17,2025-12-08T02:34:32,SAN,19385.41,MXN,America/Mexico_City,retail
CU-0009,1386.71,22-05,US,D-0009,mobile,2025-10-13,2025-12-02T00:47:54,WFC,4963.51,USD,America/Chicago,premium
CU-0010,16002.85,08-20,MX,D-0010,web,2022-05-15,2025-12-14T02:00:04,BAN,99022.23,MXN,America/Monterrey,retail
CU-0011,310030.71,07-19,CL,D-0011,mobile,2024-03-07,2025-12-17T19:31:03,SAN,992770.40,CLP,America/Santiago,retail
CU-0012,6060.35,08-22,MX,D-0012,mobile,2024-07-27,2025-12-19T21:27:01,BAN,30616.37,MXN,America/Mexico_City,retail
CU-0013,6227314.56,09-21,AR,D-0013,mobile,2023-11-26,2025-12-23T06:32:00,BNA,45816239.79,ARS,America/Argentina/Buenos_Aires,business
CU-0014,6494087.48,06-20,CO,D-0014,web,2022-09-05,2025-12-01T18:41:43,BOG,46043559.69,COP,America/Bogota,premium
CU-0015,1686733.49,06-21,CO,D-0015,web,2020-10-20,2025-12-12T06:01:02,BAN,9435508.05,COP,America/Bogota,retail
CU-0016,6796.20,06-19,MX,D-0016,mobile,2023-06-23,2025-12-05T00:00:18,BAN,21642.06,MXN,America/Tijuana,retail
CU-0017,11031.67,09-20,MX,D-0017,mobile,2022-01-06,2025-12-24T04:51:33,BAN,87461.86,MXN,America/Tijuana,retail
CU-0018,3955586.62,06-21,CO,D-0018,web,2025-12-10,2025-12-25T02:19:59,BOG,27656376.33,COP,America/Bogota,retail
CU-0019,62.17,08-21,ES,D-0019,mobile,2025-12-11,2025-12-30T08:32:39,CABK,345.69,EUR,Europe/Madrid,retail
CU-0020,1013.37,06-18,US,D-0020,mobile,2021-03-07,2025-12-28T15:25:47,JPM,6463.73,USD,America/Los_Angeles,retail
CU-0021,314.96,11-21,ES,D-0021,web,2024-11-23,2025-12-09T08:34:18,CABK,2513.78,EUR,Europe/Madrid,retail
CU-0022,963.13,09-20,ES,D-0022,web,2023-06-08,2025-12-20T02:47:24,CABK,6645.00,EUR,Europe/Madrid,retail
CU-0023,619.61,07-19,PE,D-0023,mobile,2022-09-04,2025-12-01T03:32:13,BCP,2357.02,PEN,America/Lima,premium
CU-0024,1272.89,08-18,ES,D-0024,mobile,2020-12-27,2025-12-19T21:54:21,BBVA,8554.91,EUR,Europe/Madrid,premium
CU-0025,3506886.41,11-20,AR,D-0025,web,2025-10-22,2025-12-30T00:27:46,BNA,17413404.57,ARS,America/Argentina/Buenos_Aires,premium
CU-0026,5664.84,23-07,MX,D-0026,mobile,2020-01-12,2025-12-28T13:52:05,SAN,31133.77,MXN,America/Mexico_City,retail
CU-0027,20116.19,10-20,MX,D-0027,mobile,2025-12-03,2025-12-23T22:32:02,BAN,103415.74,MXN,America/Mexico_City,retail
CU-0028,1126.58,11-19,US,D-0028,mobile,2021-11-10,2025-12-02T16:39:32,JPM,7300.41,USD,America/Denver,retail
