transaction_id,customer_id,amount,currency,country,chanel,device_id,timestamp,merchant_id,issuer_bank
T-4730,CU-149,6075.12,USD,US,mobile,D-149,2025-03-12T00:10:00,M-007,JPM
T-1221,CU-011,656.21,USD,ES,web,D-011,2025-11-01T00:10:00,M-012,CABK
T-7152,CU-849,2286.02,USD,CL,mobile,D-849,2025-11-01T00:10:00,M-018,BCH
T-7056,CU-723,5016.77,USD,US,web,D-723,2025-11-02T00:10:00,M-030,JPM
T-6288,CU-171,3523.09,USD,US,web,D-171,2025-11-02T00:10:00,M-016,WFC
T-2412,CU-396,492.51,USD,US,web,D-396,2025-11-02T00:10:00,M-020,JPM
T-7469,CU-034,4626.12,USD,CO,mobile,D-034,2025-11-03T00:10:00,M-033,DAV
T-5958,CU-810,4028.16,PEN,PE,mobile,D-810,2025-11-03T00:10:00,M-004,IBK
T-1608,CU-055,4574.37,USD,AR,mobile,D-055,2025-11-04T00:10:00,M-014,GAL
T-5429,CU-209,3164.39,USD,US,web,D-209,2025-11-04T00:10:00,M-025,WFC
T-1165,CU-629,735.56,USD,CL,web,D-629,2025-11-04T00:10:00,M-031,BCI
T-4319,CU-794,4570.41,USD,CL,mobile,D-794,2025-11-04T00:10:00,M-044,BCH
T-7813,CU-668,5108.87,USD,AR,mobile,D-668,2025-11-04T00:10:00,M-047,BNA
T-7373,CU-193,1787.55,USD,MX,mobile,D-193,2025-11-04T00:10:00,M-027,BAN
T-7145,CU-199,2262.55,USD,CL,mobile,D-199,2025-11-05T00:10:00,M-006,BCI
T-7778,CU-935,1610.21,USD,CO,mobile,D-935,2025-11-05T00:10:00,M-025,BOG
T-2330,CU-174,3190.04,PEN,PE,web,D-174,2025-11-06T00:10:00,M-031,IBK
T-5702,CU-633,1154.12,USD,MX,mobile,D-633,2025-11-06T00:10:00,M-023,SAN
T-1522,CU-633,2487.04,USD,MX,mobile,D-633,2025-11-06T00:10:00,M-020,SAN
T-1581,CU-593,4817.47,USD,CL,web,D-593,2025-11-07T00:10:00,M-007,SAN
T-2297,CU-708,2695.75,USD,CL,mobile,D-708,2025-11-08T00:10:00,M-023,SAN
T-5870,CU-949,411.63,USD,CL,mobile,D-949,2025-11-08T00:10:00,M-030,BCH
T-4206,CU-674,5428.53,USD,AR,mobile,D-674,2025-11-08T00:10:00,M-016,BNA
T-3207,CU-823,2044.20,USD,MX,web,D-823,2025-11-09T00:10:00,M-002,BAN
T-6057,CU-759,846.14,USD,CL,web,D-759,2025-11-10T00:10:00,M-007,BCI
T-6173,CU-602,2041.97,USD,US,mobile,D-602,2025-11-10T00:10:00,M-020,WFC
T-1968,CU-964,364.75,USD,CL,web,D-964,2025-11-11T00:10:00,M-029,BCI
T-1882,CU-858,1446.70,USD,MX,mobile,D-858,2025-11-12T00:10:00,M-018,BBVA
T-1454,CU-504,6631.68,USD,ES,web,D-504,2025-11-12T00:10:00,M-008,SAN
T-6126,CU-858,2323.20,USD,MX,mobile,D-858,2025-11-12T00:10:00,M-043,BBVA
T-2301,CU-467,561.18,USD,AR,web,D-467,2025-11-13T00:10:00,M-015,BNA
T-6768,CU-756,956.15,USD,CL,mobile,D-756,2025-11-13T00:10:00,M-036,SAN
T-7594,CU-445,1230.32,PEN,PE,mobile,D-445,2025-11-13T00:10:00,M-032,IBK
T-4003,CU-402,3299.98,USD,CO,mobile,D-402,2025-11-14T00:10:00,M-012,BAN
T-6304,CU-741,2483.08,PEN,PE,web,D-741,2025-11-14T00:10:00,M-028,BCP
T-2765,CU-741,4066.08,PEN,PE,web,D-741,2025-11-14T00:10:00,M-025,BCP
